contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,0.9911681164565951,1.0,0.9911579134453035,0.8844444444444445,0.9955593243032156
001,0.9995118054322741,0.9995965392029408,0.9999103139013453,0.008888888888888889,0.9997534019324321
002,0.9897922954020948,0.9896893351862645,1.0,0.0,0.9948179524152849
003,0.9794958281555122,0.9792890124176268,1.0,0.0,0.9895361478528719
004,0.9699538434226878,0.9696507822656565,1.0,0.0,0.9845915742995653
005,0.9599680454464761,0.959564262339176,1.0,0.0,0.979364934114202
006,0.949582815551216,0.9490742816156363,1.0,0.0,0.9738718432310594
007,0.9396857802236819,0.9390774196440579,1.0,0.0,0.9685816668593226
008,0.9296112195987928,0.9289012417626754,1.0,0.0,0.9631402807474203
009,0.9197141842712586,0.918904379791097,1.0,0.0,0.957738581941362
01,0.9096396236463696,0.9087282019097145,1.0,0.0,0.9521818779651463
02,0.8099147878572697,0.8079974895772627,1.0,0.0,0.8938037737720365
03,0.7097017575004438,0.7067736584928498,1.0,0.0,0.8281984608515222
04,0.6093999644949405,0.6054601694535348,1.0,0.0,0.7542512495462542
05,0.509453222084147,0.504505312233828,1.0,0.0,0.6706593963231131
