contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,0.9058672110775785,1.0,0.9057081888503601,0.9823992589161649,0.950521380082581
001,0.9168293981892419,1.0,0.9157639232256034,0.8679944418712366,0.9560300328484279
002,0.924551748624179,1.0,0.9229828297014452,0.7874015748031497,0.9599491118126561
003,0.9347150718977454,1.0,0.9326588536898004,0.6813339509031959,0.965156216689959
004,0.9444789632522634,1.0,0.9421476137624861,0.5794349235757295,0.9702121580112866
005,0.9554411503639268,1.0,0.9530336342798335,0.4650301065308013,0.9759520958083832
006,0.9692437422332683,1.0,0.9671033893477642,0.3209819360815192,0.9832766234706437
007,0.9778093378306408,1.0,0.976045609160159,0.2315886984715146,0.9878776123745333
008,0.9876619918338363,1.0,0.9865381821703549,0.1287633163501621,0.9932234789391575
009,0.9946298597550151,1.0,0.9940958329267102,0.05604446503010653,0.9970391758631658
01,0.9956950115391443,0.9952387964462769,1.0,0.0,0.9976137174346231
02,0.8950381679389313,0.8839149855200511,1.0,0.0,0.9383809697506579
03,0.7950914255281377,0.7733765277573259,1.0,0.0,0.8722079216142158
04,0.6954553523877153,0.6631816620036323,1.0,0.0,0.7974855388974148
05,0.5955529913012604,0.5526922888136259,1.0,0.0,0.7119147725476559
