contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,0.9514912124977809,1.0,0.9514653641207815,0.9891402714932127,0.9751291328190775
001,0.9616101544470087,1.0,0.9611968419163825,0.7828054298642534,0.9802145520254352
002,0.9734599680454464,1.0,0.9728490351872872,0.5411764705882353,0.9862376875632882
003,0.9818480383454642,1.0,0.9812694632716614,0.37013574660633486,0.9905461942075214
004,0.9931208947274986,1.0,0.9928180891483643,0.14027149321266968,0.996396103141203
005,0.997470264512693,0.9980865263452653,0.9992524063171666,0.014479638009049774,0.9986691260594458
006,0.9890378128883366,0.988472487982452,1.0,0.0,0.9942028305208064
007,0.9790076335877863,0.9779250478368414,1.0,0.0,0.9888393383827658
008,0.9689774542872359,0.9673776076912307,1.0,0.0,0.9834183370893134
009,0.9589472749866856,0.95683016754562,1.0,0.0,0.9779388967063368
01,0.9487395703887804,0.9460960470434499,1.0,0.0,0.9723014940406245
02,0.8489703532753418,0.8411816866570215,1.0,0.0,0.9137410965501508
03,0.7487129415941771,0.7357539552900546,1.0,0.0,0.847762959776296
04,0.6487661991833836,0.6306529145470667,1.0,0.0,0.7734974241556954
05,0.5485531688265578,0.5252718532692398,1.0,0.0,0.6887583379230158
