nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.9583333333333334,1.0,0.958041958041958,0.8571428571428571,0.9785714285714286
002,0.9722222222222222,1.0,0.9716312056737588,0.5714285714285714,0.9856115107913669
003,0.9791666666666666,1.0,0.9785714285714285,0.42857142857142855,0.9891696750902527
004,0.9861111111111112,0.9963503649635036,0.9891304347826086,0.21428571428571427,0.9927272727272726
005,0.9826388888888888,0.9927007299270073,0.9890909090909091,0.21428571428571427,0.9908925318761385
006,0.9791666666666666,0.9817518248175182,0.9962962962962963,0.07142857142857142,0.9889705882352942
007,0.96875,0.9708029197080292,0.9962546816479401,0.07142857142857142,0.9833641404805915
008,0.9548611111111112,0.9562043795620438,0.9961977186311787,0.07142857142857142,0.9757914338919925
009,0.9583333333333334,0.9562043795620438,1.0,0.0,0.9776119402985075
01,0.9513888888888888,0.948905109489051,1.0,0.0,0.9737827715355805
