nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,1.0,1.0,1.0,0.0,1.0
002,0.9895833333333334,0.9894736842105263,1.0,0.0,0.9947089947089947
003,0.9826388888888888,0.9824561403508771,1.0,0.0,0.9911504424778761
004,0.9618055555555556,0.9614035087719298,1.0,0.0,0.9803220035778176
005,0.9618055555555556,0.9614035087719298,1.0,0.0,0.9803220035778176
006,0.9548611111111112,0.9543859649122807,1.0,0.0,0.9766606822262119
007,0.9409722222222222,0.9403508771929825,1.0,0.0,0.9692585895117541
008,0.9305555555555556,0.9298245614035088,1.0,0.0,0.9636363636363636
009,0.9166666666666666,0.9157894736842105,1.0,0.0,0.956043956043956
01,0.9166666666666666,0.9157894736842105,1.0,0.0,0.956043956043956
