e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.9983135096751287,0.9989732580389229,0.999253069417861,0.014479638009049774,0.999113144137416
002,0.9978696964317415,0.9994866290194614,0.9982752994919125,0.0334841628959276,0.9988805970149253
003,0.9983578909994675,1.0,0.998276183376817,0.0334841628959276,0.999137348161619
004,0.9978253151074028,1.0,0.9977183833116037,0.044343891402714934,0.9988578887257301
005,0.9978253151074028,1.0,0.9977183833116037,0.044343891402714934,0.9988578887257301
006,0.9978253151074028,1.0,0.9977183833116037,0.044343891402714934,0.9988578887257301
007,0.9978253151074028,1.0,0.9977183833116037,0.044343891402714934,0.9988578887257301
008,0.9978253151074028,1.0,0.9977183833116037,0.044343891402714934,0.9988578887257301
009,0.9978253151074028,1.0,0.9977183833116037,0.044343891402714934,0.9988578887257301
01,0.9978253151074028,1.0,0.9977183833116037,0.044343891402714934,0.9988578887257301
02,0.9763003728031244,1.0,0.9756841673876417,0.4832579185520362,0.9876924495252144
03,0.9763003728031244,1.0,0.9756841673876417,0.4832579185520362,0.9876924495252144
04,0.9763003728031244,1.0,0.9756841673876417,0.4832579185520362,0.9876924495252144
05,0.9763003728031244,1.0,0.9756841673876417,0.4832579185520362,0.9876924495252144
06,0.9763003728031244,1.0,0.9756841673876417,0.4832579185520362,0.9876924495252144
07,0.9509586366057163,1.0,0.9509586366057163,1.0,0.9748629404672536
08,0.9509586366057163,1.0,0.9509586366057163,1.0,0.9748629404672536
