e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.997647789810048,0.9989201394001865,0.9984790501422824,0.014358499305233904,0.9986995460679671
002,0.9960944434581928,0.9994600697000933,0.9962326924017809,0.035664659564613246,0.9978437714397728
003,0.9965826380259187,1.0,0.9962347188264059,0.035664659564613246,0.9981138083923279
004,0.9946298597550151,1.0,0.9940958329267102,0.05604446503010653,0.9970391758631658
005,0.9946298597550151,1.0,0.9940958329267102,0.05604446503010653,0.9970391758631658
006,0.9946298597550151,1.0,0.9940958329267102,0.05604446503010653,0.9970391758631658
007,0.9946298597550151,1.0,0.9940958329267102,0.05604446503010653,0.9970391758631658
008,0.9946298597550151,1.0,0.9940958329267102,0.05604446503010653,0.9970391758631658
009,0.9946298597550151,1.0,0.9940958329267102,0.05604446503010653,0.9970391758631658
01,0.9946298597550151,1.0,0.9940958329267102,0.05604446503010653,0.9970391758631658
02,0.9514912124977809,1.0,0.949082269635703,0.5062528948587309,0.973876048662731
03,0.9514912124977809,1.0,0.949082269635703,0.5062528948587309,0.973876048662731
04,0.9514912124977809,1.0,0.949082269635703,0.5062528948587309,0.973876048662731
05,0.9514912124977809,1.0,0.949082269635703,0.5062528948587309,0.973876048662731
06,0.9041807207527073,1.0,0.9041807207527073,1.0,0.9496795245309405
07,0.9041807207527073,1.0,0.9041807207527073,1.0,0.9496795245309405
08,0.9041807207527073,1.0,0.9041807207527073,1.0,0.9496795245309405
