e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.9979140777560802,0.9979826960147039,0.999910168882501,0.008888888888888889,0.9989455026811156
002,0.998890466891532,0.9989689335186265,0.9999102575608005,0.008888888888888889,0.9994393738927635
003,0.9994230427835966,0.9995068812480388,0.9999103058570276,0.008888888888888889,0.9997085528528192
004,0.9994230427835966,0.9995068812480388,0.9999103058570276,0.008888888888888889,0.9997085528528192
005,0.9999112373513226,1.0,0.9999103500829262,0.008888888888888889,0.9999551730320961
006,0.9998668560269839,1.0,0.9998655311519498,0.013333333333333334,0.9999327610552031
007,0.9998668560269839,1.0,0.9998655311519498,0.013333333333333334,0.9999327610552031
008,0.9998668560269839,1.0,0.9998655311519498,0.013333333333333334,0.9999327610552031
009,0.9998668560269839,1.0,0.9998655311519498,0.013333333333333334,0.9999327610552031
01,0.9998668560269839,1.0,0.9998655311519498,0.013333333333333334,0.9999327610552031
02,0.9998668560269839,1.0,0.9998655311519498,0.013333333333333334,0.9999327610552031
03,0.9953843422687733,1.0,0.9953594217125519,0.4622222222222222,0.997674314593676
04,0.9953843422687733,1.0,0.9953594217125519,0.4622222222222222,0.997674314593676
05,0.9953843422687733,1.0,0.9953594217125519,0.4622222222222222,0.997674314593676
06,0.9953843422687733,1.0,0.9953594217125519,0.4622222222222222,0.997674314593676
07,0.9953843422687733,1.0,0.9953594217125519,0.4622222222222222,0.997674314593676
08,0.9953843422687733,1.0,0.9953594217125519,0.4622222222222222,0.997674314593676
