e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
01,0.9965277777777778,1.0,0.9961538461538462,0.034482758620689655,0.9980732177263969
02,0.9965277777777778,1.0,0.9961538461538462,0.034482758620689655,0.9980732177263969
03,0.9895833333333334,1.0,0.9885496183206107,0.10344827586206896,0.9942418426103647
04,0.9583333333333334,1.0,0.955719557195572,0.41379310344827586,0.9773584905660377
05,0.9444444444444444,1.0,0.9418181818181818,0.5517241379310345,0.9700374531835205
06,0.9444444444444444,1.0,0.9418181818181818,0.5517241379310345,0.9700374531835205
07,0.9444444444444444,1.0,0.9418181818181818,0.5517241379310345,0.9700374531835205
08,0.9444444444444444,1.0,0.9418181818181818,0.5517241379310345,0.9700374531835205
