e,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
01,0.7048611111111112,0.6897810218978102,1.0,0.0,0.816414686825054
02,0.9965277777777778,1.0,0.9963636363636363,0.07142857142857142,0.9981785063752276
03,0.9965277777777778,1.0,0.9963636363636363,0.07142857142857142,0.9981785063752276
04,0.9965277777777778,1.0,0.9963636363636363,0.07142857142857142,0.9981785063752276
05,0.9965277777777778,1.0,0.9963636363636363,0.07142857142857142,0.9981785063752276
06,0.9965277777777778,1.0,0.9963636363636363,0.07142857142857142,0.9981785063752276
07,0.9722222222222222,1.0,0.9716312056737588,0.5714285714285714,0.9856115107913669
08,0.9722222222222222,1.0,0.9716312056737588,0.5714285714285714,0.9856115107913669
