contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,1.0,1.0,1.0,0.0,1.0
001,1.0,1.0,1.0,0.0,1.0
002,1.0,1.0,1.0,0.0,1.0
003,1.0,1.0,1.0,0.0,1.0
004,1.0,1.0,1.0,0.0,1.0
005,0.8333333333333334,0.8260869565217391,1.0,0.0,0.9047619047619047
006,0.8333333333333334,0.8260869565217391,1.0,0.0,0.9047619047619047
007,0.8333333333333334,0.8260869565217391,1.0,0.0,0.9047619047619047
008,0.8333333333333334,0.8260869565217391,1.0,0.0,0.9047619047619047
009,0.8333333333333334,0.8260869565217391,1.0,0.0,0.9047619047619047
01,0.8333333333333334,0.8260869565217391,1.0,0.0,0.9047619047619047
02,0.8333333333333334,0.8260869565217391,1.0,0.0,0.9047619047619047
03,0.7083333333333334,0.6956521739130435,1.0,0.0,0.8205128205128205
04,0.5416666666666666,0.5217391304347826,1.0,0.0,0.6857142857142856
05,0.5416666666666666,0.5217391304347826,1.0,0.0,0.6857142857142856
