contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,0.9583333333333334,1.0,0.9565217391304348,0.5,0.9777777777777777
001,0.9583333333333334,1.0,0.9565217391304348,0.5,0.9777777777777777
002,0.9583333333333334,1.0,0.9565217391304348,0.5,0.9777777777777777
003,0.9583333333333334,1.0,0.9565217391304348,0.5,0.9777777777777777
004,0.9583333333333334,1.0,0.9565217391304348,0.5,0.9777777777777777
005,1.0,1.0,1.0,0.0,1.0
006,1.0,1.0,1.0,0.0,1.0
007,1.0,1.0,1.0,0.0,1.0
008,1.0,1.0,1.0,0.0,1.0
009,0.875,0.8636363636363636,1.0,0.0,0.9268292682926829
01,0.875,0.8636363636363636,1.0,0.0,0.9268292682926829
02,0.875,0.8636363636363636,1.0,0.0,0.9268292682926829
03,0.7083333333333334,0.6818181818181818,1.0,0.0,0.8108108108108109
04,0.5416666666666666,0.5,1.0,0.0,0.6666666666666666
05,0.5416666666666666,0.5,1.0,0.0,0.6666666666666666
