nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.9157642464051128,1.0,0.9147770643437655,0.8791106993978693,0.9554919801144359
002,0.9181164565950648,1.0,0.9169592222522279,0.8545622973598889,0.9566809889413256
003,0.936046511627907,1.0,0.9339415054552123,0.667438628994905,0.9658425581340223
004,0.9386206284395526,1.0,0.9364313292884722,0.6405743399722094,0.967172256640319
005,0.9493165276051837,1.0,0.946920752963049,0.5289485873089393,0.9727368220015279
006 ,0.9597461388247825,1.0,0.9573778195488721,0.4201018990273275,0.9782248577533431
007,0.9700426060713652,1.0,0.9679304446978335,0.3126447429365447,0.9837039183023104
008,0.9854429256169004,1.0,0.9841553548137771,0.15192218619731357,0.9920144130106637
009,0.988017042428546,0.996662249055122,0.9901497049787877,0.0935618341824919,0.9933953033268103
01,0.9823362329131902,0.9879742796838954,0.9924559932942163,0.07086614173228346,0.9902100654302161
