nu,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
001,0.9998224747026452,0.999910342045098,0.999910342045098,0.008888888888888889,0.999910342045098
002,0.990236108645482,0.9901376249607746,1.0,0.0,0.9950443753660405
003,0.9800284040475767,0.9798269601470391,1.0,0.0,0.9898107055520333
004,0.9701313687200426,0.9698300981754606,1.0,0.0,0.9846840081017728
005,0.95983490147346,0.959429775406823,1.0,0.0,0.9792948820609029
006 ,0.9510917805787324,0.9505984668489712,1.0,0.0,0.9746736532450818
007,0.9397745428723593,0.93916707759896,1.0,0.0,0.9686293547865086
008,0.9305876087342446,0.929887479266598,1.0,0.0,0.9636701509872242
009,0.9202023788389846,0.9193974985430582,1.0,0.0,0.9580063527653213
01,0.9103053435114504,0.9094006365714798,1.0,0.0,0.9525508886436739
