contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,0.9513888888888888,1.0,0.9513888888888888,1.0,0.9750889679715302
001,0.9583333333333334,1.0,0.958041958041958,0.8571428571428571,0.9785714285714286
002,0.9722222222222222,1.0,0.9716312056737588,0.5714285714285714,0.9856115107913669
003,0.9826388888888888,1.0,0.982078853046595,0.35714285714285715,0.9909584086799277
004,0.9930555555555556,1.0,0.9927536231884058,0.14285714285714285,0.9963636363636363
005,0.9895833333333334,0.9927007299270073,0.9963369963369964,0.07142857142857142,0.9945155393053016
006,0.9791666666666666,0.9817518248175182,0.9962962962962963,0.07142857142857142,0.9889705882352942
007,0.9756944444444444,0.9744525547445255,1.0,0.0,0.9870609981515711
008,0.96875,0.9671532846715328,1.0,0.0,0.9833024118738405
009,0.9583333333333334,0.9562043795620438,1.0,0.0,0.9776119402985075
01,0.9479166666666666,0.9452554744525548,1.0,0.0,0.9718574108818011
02,0.8472222222222222,0.8394160583941606,1.0,0.0,0.9126984126984127
03,0.7465277777777778,0.7335766423357665,1.0,0.0,0.8463157894736842
04,0.6493055555555556,0.6313868613138686,1.0,0.0,0.774049217002237
05,0.5486111111111112,0.5255474452554745,1.0,0.0,0.6889952153110048
