contamination,Accuracy,Recall,Precision,False_Alarm_Rate,F_Score
0,0.9895833333333334,1.0,0.9895833333333334,1.0,0.9947643979057591
001,1.0,1.0,1.0,0.0,1.0
002,0.9895833333333334,0.9894736842105263,1.0,0.0,0.9947089947089947
003,0.9791666666666666,0.9789473684210527,1.0,0.0,0.9893617021276596
004,0.96875,0.968421052631579,1.0,0.0,0.983957219251337
005,0.9618055555555556,0.9614035087719298,1.0,0.0,0.9803220035778176
006,0.9479166666666666,0.9473684210526315,1.0,0.0,0.972972972972973
007,0.9375,0.9368421052631579,1.0,0.0,0.967391304347826
008,0.9305555555555556,0.9298245614035088,1.0,0.0,0.9636363636363636
009,0.9201388888888888,0.9192982456140351,1.0,0.0,0.9579524680073126
01,0.9097222222222222,0.9087719298245615,1.0,0.0,0.9522058823529411
02,0.8090277777777778,0.8070175438596491,1.0,0.0,0.8932038834951457
03,0.7083333333333334,0.7052631578947368,1.0,0.0,0.8271604938271605
04,0.6111111111111112,0.6070175438596491,1.0,0.0,0.7554585152838428
05,0.5104166666666666,0.5052631578947369,1.0,0.0,0.6713286713286714
